dsm5domainID:ID,name,title,:LABEL
anhedo0001,Anhedonia,Personality Disorder Domain,Disorder
anxiou0001,Anxiousness,Personality Disorder Domain,Disorder
attent0001,Attention Seeking,Personality Disorder Domain,Disorder
callou0001,Callousness,Personality Disorder Domain,Disorder
deceit0001,Deceitfulness,Personality Disorder Domain,Disorder
depres0001,Depressivity,Personality Disorder Domain,Disorder
distra0001,Distractibility,Personality Disorder Domain,Disorder
eccent0001,Eccentricity,Personality Disorder Domain,Disorder
emotio0001,Emotional Lability,Personality Disorder Domain,Disorder
grandi0001,Grandiosity,Personality Disorder Domain,Disorder
hostil0001,Hostility,Personality Disorder Domain,Disorder
impuls0001,Impulsivity,Personality Disorder Domain,Disorder
intima0001,Intimacy Avoidance,Personality Disorder Domain,Disorder
irresp0001,Irresponsibility,Personality Disorder Domain,Disorder
manipu0001,Manipulativeness,Personality Disorder Domain,Disorder
percep0001,Perceptual Dysregulation,Personality Disorder Domain,Disorder
persev0001,Perseveration,Personality Disorder Domain,Disorder
restri0001,Restricted Affectivity,Personality Disorder Domain,Disorder
rigid0001,Rigid Perfectionism,Personality Disorder Domain,Disorder
riskt0001,Risk Taking,Personality Disorder Domain,Disorder
separa0001,Separation Insecurity,Personality Disorder Domain,Disorder
submis0001,Submissiveness,Personality Disorder Domain,Disorder
suspic0001,Suspiciousness,Personality Disorder Domain,Disorder
unusua0001,Unusual Beliefs & Experiences,Personality Disorder Domain,Disorder
withdr0001,Withdrawal,Personality Disorder Domain,Disorder
