facetID:ID,name,title,:LABEL
anhedo0001,Anhedonia,Personality Disorder Domain,Facet
anxiou0001,Anxiousness,Personality Disorder Domain,Facet
attent0001,Attention Seeking,Personality Disorder Domain,Facet
callou0001,Callousness,Personality Disorder Domain,Facet
deceit0001,Deceitfulness,Personality Disorder Domain,Facet
depres0001,Depressivity,Personality Disorder Domain,Facet
distra0001,Distractibility,Personality Disorder Domain,Facet
eccent0001,Eccentricity,Personality Disorder Domain,Facet
emotio0001,Emotional Lability,Personality Disorder Domain,Facet
grandi0001,Grandiosity,Personality Disorder Domain,Facet
hostil0001,Hostility,Personality Disorder Domain,Facet
impuls0001,Impulsivity,Personality Disorder Domain,Facet
intima0001,Intimacy Avoidance,Personality Disorder Domain,Facet
irresp0001,Irresponsibility,Personality Disorder Domain,Facet
manipu0001,Manipulativeness,Personality Disorder Domain,Facet
percep0001,Perceptual Dysregulation,Personality Disorder Domain,Facet
persev0001,Perseveration,Personality Disorder Domain,Facet
restri0001,Restricted Affectivity,Personality Disorder Domain,Facet
rigid0001,Rigid Perfectionism,Personality Disorder Domain,Facet
riskt0001,Risk Taking,Personality Disorder Domain,Facet
separa0001,Separation Insecurity,Personality Disorder Domain,Facet
submis0001,Submissiveness,Personality Disorder Domain,Facet
suspic0001,Suspiciousness,Personality Disorder Domain,Facet
unusua0001,Unusual Beliefs & Experiences,Personality Disorder Domain,Facet
withdr0001,Withdrawal,Personality Disorder Domain,Facet
